博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
2005,燕子与荷花，12 世纪中叶：91.8 x 47 厘米（36 1/8 x 18 1/2 英寸）；装裱：195.5 x 63.6 厘米（76 15/16 x 25 1/16 英寸）。克利夫兰艺术博物馆，购自 J. H. Wade 基金 1981.34。,《燕戏莲塘》,12世纪中叶,亚洲 - 挂轴,(CHENG QI 程琦[1911-1988]，日本东京，出售给克利夫兰艺术博物馆) (?-1981)；克利夫兰艺术博物馆，克利夫兰，哦 (1981-),https://clevelandart.org/art/1981.34,https://openaccess-cdn.clevelandart.org/1981.34/1981.34_web.jpg
2006,手卷；绢本水墨；总尺寸：28.6 x 498.2 厘米（11 1/4 x 196 1/8 英寸）。,《高林百雀图》,1368–1644,亚洲 - 手卷,"(Luk Kwing karp, Kowloon, Hong Kong, 出售给克利夫兰艺术博物馆) (? -1981);克利夫兰艺术博物馆, cleveland, oh (1981-)",https://clevelandart.org/art/1981.4,https://openaccess-cdn.clevelandart.org/1981.4/1981.4_web.jpg
2007,中国，北宋晚期（960-1127年）-金代（1115-1234年）.,十一面观音,1100–1200,中国 - 宋朝,"(蘇富比，紐約，1944年10月19日拍賣會，拍賣品號229，售予C. T. Loo）（1944年10月19日）；（C. T. Loo 盧芹齋 [1880-1957]，巴黎及紐約）（1944-1952）；Anne Valliant Burnett Tandy [1900-1980]，德克薩斯州沃思堡，委託蘇富比紐約（？-1980年）；（纽约苏富比，1981年11月6日拍卖，拍品编号50）（1981年11月6日）；（J. E. ESKENAZI, LTD、伦敦，英国，出售给克利夫兰艺术博物馆）（1981 年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1981 年至）",https://clevelandart.org/art/1981.53,https://openaccess-cdn.clevelandart.org/1981.53/1981.53_web.jpg
2008,中国，南宋（1127-1279 年）。挂轴，绢本水墨；图像：47.5 x 27 厘米（18 11/16 x 10 5/8 英寸）。克利夫兰艺术博物馆，William H. Marlatt 先生和夫人基金 1981.54,《竹林山水》,1127–1279,亚洲 - 挂轴,[],https://clevelandart.org/art/1981.54,https://openaccess-cdn.clevelandart.org/1981.54/1981.54_web.jpg
2009,李公麟（中国，约 1049-1106 年），《睡龙山居图》，1100-1200 年，手卷，装裱成三张册页；总尺寸：26.5 x 42 厘米（10 7/16 x 16 9/16 英寸）。,《栖居龙眠山》,1100 年代至 1200 年代,中国 - 宋朝,(James J. Freeman，日本京都，1981 年，出售给克利夫兰艺术博物馆）（？,https://clevelandart.org/art/1981.57,https://openaccess-cdn.clevelandart.org/1981.57/1981.57_web.jpg
2010,李公麟（中国，约 1049-1106 年）的追随者：26.3 x 43 厘米（10 3/8 x 16 15/16 英寸）；装裱：38.3 x 53.8 厘米（15 1/16 x 21 3/16 英寸）。克利夫兰艺术博物馆，Andrew R. and Martha Holden Jennings 基金 1981.57.1,《栖居龙眠山》,1100 年代至 1200 年代,亚洲 - 相册叶,(James J. Freeman，日本京都，1981 年，出售给克利夫兰艺术博物馆）（？,https://clevelandart.org/art/1981.57.1,https://openaccess-cdn.clevelandart.org/1981.57.1/1981.57.1_web.jpg
2011,李公麟（中国，约 1049-1106 年）的追随者：26.5 x 43 厘米（10 7/16 x 16 15/16 英寸）；装裱：38.3 x 53.8 厘米（15 1/16 x 21 3/16 英寸）。克利夫兰艺术博物馆，Andrew R. and Martha Holden Jennings 基金 1981.57.2,《栖居龙眠山》,1100 年代至 1200 年代,亚洲 - 相册叶,(James J. Freeman，日本京都，1981 年，出售给克利夫兰艺术博物馆）（？,https://clevelandart.org/art/1981.57.2,https://openaccess-cdn.clevelandart.org/1981.57.2/1981.57.2_web.jpg
2012,李公麟（中国，约 1049-1106 年）的追随者：克利夫兰艺术博物馆，Andrew R. and Martha Holden Jennings 基金 1981.57.3,《栖居龙眠山》,1100 年代至 1200 年代,亚洲 - 相册叶,(James J. Freeman，日本京都，1981 年，出售给克利夫兰艺术博物馆）（？,https://clevelandart.org/art/1981.57.3,https://openaccess-cdn.clevelandart.org/1981.57.3/1981.57.3_web.jpg
2013,一对凳子，1700-1725.中国，清朝（1644-1911）.鸡翅木（Jichimu）；总尺寸：48.3 x 48.3 x 48.3 厘米（19 x 19 x 19 英寸）.克利夫兰艺术博物馆，Miss mildred F. Walker赠 1982.114,凳（一对）,1700–1725,中国 - 清朝,沃克小姐，赠送给克利夫兰艺术博物馆(?-1982)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1982-),https://clevelandart.org/art/1982.114,https://openaccess-cdn.clevelandart.org/1982.114/1982.114_web.jpg
2014,鸡翅木；总尺寸：48.3 x 48.3 x 48.3 厘米（19 x 19 x 19 英寸）。克利夫兰艺术博物馆，Miss mildred F. Walker赠 1982.114.1,凳（之一）,1700–1725,中国 - 清朝,沃克小姐，赠送给克利夫兰艺术博物馆(?-1982)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1982-),https://clevelandart.org/art/1982.114.1,https://openaccess-cdn.clevelandart.org/1982.114.1/1982.114.1_web.jpg
2015,鸡翅木；总尺寸：48.3 x 48.3 x 48.3 厘米（19 x 19 x 19 英寸）。克利夫兰艺术博物馆，Miss mildred F. Walker赠 1982.114.2,凳（之二）,1700–1725,中国 - 清朝,沃克小姐，赠送给克利夫兰艺术博物馆(?-1982)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1982-),https://clevelandart.org/art/1982.114.2,https://openaccess-cdn.clevelandart.org/1982.114.2/1982.114.2_web.jpg
2016,中国，清代（1644-1911 年）。花梨木（黄花梨）；总尺寸：28.6 x 50.8 厘米（11 1/4 x 20 英寸）。克利夫兰艺术博物馆，Miss mildred F. Walker 赠 1982.116,托箱桌,17世纪初,中国 - 清朝,"Helen M. Walker [1892-1989], Cleveland, Oh, 赠与克利夫兰艺术博物馆 (? -1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.116,https://openaccess-cdn.clevelandart.org/1982.116/1982.116_web.jpg
2017,中国，清朝（1644-1911 年）.花梨木（黄花梨）和金属；总尺寸：40.7 x 41.3 x 35.6 厘米（16 x 16 1/4 x 14 英寸）.克利夫兰艺术博物馆，Miss mildred F. Walker 赠 1982.117,抽屉小柜,1700s,中国 - 清朝,"Miss Helen M. Walker [1892-1989], Cleveland, Oh, 赠与克利夫兰艺术博物馆 (?-1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.117,https://openaccess-cdn.clevelandart.org/1982.117/1982.117_web.jpg
2018,中国，清朝（1644-1911）。鸡翅木；总尺寸：16.1 x 50.2 x 24.2 cm (6 5/16 x 19 3/4 x 9 1/2 in.).,长方双屉柜,1800s,中国 - 清朝,沃克小姐，赠送给克利夫兰艺术博物馆(?-1982)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1982-),https://clevelandart.org/art/1982.118,https://openaccess-cdn.clevelandart.org/1982.118/1982.118_web.jpg
2019,墨竹，1200 年代。中国，南宋（1127-1279 年）：画面：91.2 x 39.8 厘米（35 7/8 x 15 11/16 英寸）；整体：172.7 x 57.2 厘米（68 x 22 1/2 英寸）。,墨竹,1200s,亚洲 - 挂轴,[],https://clevelandart.org/art/1982.138,https://openaccess-cdn.clevelandart.org/1982.138/1982.138_web.jpg
2020,中国，商代（约公元前 1600 年至公元前 1046 年），二里岗阶段（约公元前 1600 年至公元前 1400 年）。青铜；总尺寸：32.4 x 24.2 厘米（12.3/4 x 9.5 英寸）。,爵形酒杯,c.公元前 1400 年,中国 - 商朝,利-布洛克，芝加哥,https://clevelandart.org/art/1982.148,https://openaccess-cdn.clevelandart.org/1982.148/1982.148_web.jpg
2021,中国，元代（1271-1368）。一对挂轴；绢本墨迹；总尺寸：232.3 x 82.6 厘米（91.7/16 x 32.5 英寸）。克利夫兰艺术博物馆，Leonard C. Hanna Jr.,《四时竹：夏·冬》,1279–1368,亚洲 - 挂轴,"坂本五郎 [1923-2016]; (Fugendo Co., Ltd., tokyo, japan, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, cleveland, oh (1982-)",https://clevelandart.org/art/1982.150,https://openaccess-cdn.clevelandart.org/1982.150/1982.150_web.jpg
2022,四季之竹：夏，1279-1368。中国，元代（1271-1368）。挂轴；绢本墨迹；总尺寸：232.3 x 82.6 厘米（91.7/16 x 32.5 英寸）。克利夫兰艺术博物馆，小莱昂纳德-C-汉纳基金 1982.150.1,《四时竹：夏》,1279–1368,亚洲 - 挂轴,"坂本五郎 [1923-2016]; (Fugendo Co., Ltd., tokyo, japan, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, cleveland, oh (1982-)",https://clevelandart.org/art/1982.150.1,https://openaccess-cdn.clevelandart.org/1982.150.1/1982.150.1_web.jpg
2023,四季之竹：冬，1279-1368。中国，元代（1271-1368）。挂轴；绢本水墨；总尺寸：232.3 x 82.6 厘米（91.7/16 x 32.5 英寸）。克利夫兰艺术博物馆，小莱昂纳德-C-汉纳基金 1982.150.2,《四时竹：冬》,1279–1368,亚洲 - 挂轴,"坂本五郎 [1923-2016]; (Fugendo Co., Ltd., tokyo, japan, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, cleveland, oh (1982-)",https://clevelandart.org/art/1982.150.2,https://openaccess-cdn.clevelandart.org/1982.150.2/1982.150.2_web.jpg
2024,陶渊明归去来兮辞》，1300 年代。中国，元代（1271-1368 年）。手卷；绢本，墨，淡彩；图像：34.6 x 566.4 厘米（13.5/8 x 223 英寸）；整体：37.7 x 1001.1 厘米（14.13/16 x 394.1/8 英寸）。克利夫兰艺术博物馆，Leonard C. Hanna Jr.,《陶渊明归去来》,1300s,亚洲 - 手卷,"(Frank Caro [1904-1980], New York, NY, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.152,https://openaccess-cdn.clevelandart.org/1982.152/1982.152_web.jpg
2025,中国，元代（1271-1368 年）或明代早期（1368-1644 年）。挂轴；绢本，墨、彩、金；整体：293.5 x 136 厘米（115 9/16 x 53 9/16 英寸）；仅绘画：218.4 x 112.8 厘米（86 x 44 7/16 英寸）；带钮：293.5 x 144.2 厘米（115 9/16 x 56 3/4 英寸）。仅绘画：218.4 x 112.8 厘米（86 x 44 7/16 英寸）；带钮：293.5 x 144.2 厘米（115 9/16 x 56 3/4 英寸）。克利夫兰艺术博物馆，约翰-L-塞万斯基金 1982.25,《二侍释迦》,1300s,亚洲 - 挂轴,"(Fugendo Co., Ltd., Tokyo, Japan, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, cleveland, oh (1982-)",https://clevelandart.org/art/1982.25,https://openaccess-cdn.clevelandart.org/1982.25/1982.25_web.jpg
2026,中国，北齐（550-577）。石灰石；整体：45.7 x 211.4 x 10.8 厘米（18 x 83 1/4 x 4 1/4 英寸）；面板：45.7 x 27.3 x 10.8 厘米（18 x 10 3/4 x 4 1/4 英寸）：克利夫兰艺术博物馆，奥斯卡-兰格夫妇赠 1982.260,棺床板组件,550–577,中国 - 南朝,[],https://clevelandart.org/art/1982.260,https://openaccess-cdn.clevelandart.org/1982.260/1982.260_web.jpg
2027,石灰石；整体：45.7 x 211.4 x 10.8 厘米（18 x 83 1/4 x 4 1/4 英寸）；面板：45.7 x 27.3 x 10.8 厘米（18 x 10 3/4 x 4 1/4 英寸）：克利夫兰艺术博物馆，奥斯卡-兰格夫妇赠 1982.260.A,棺床板：猫科纹,550–577,中国 - 南朝,[],https://clevelandart.org/art/1982.260.a,https://openaccess-cdn.clevelandart.org/1982.260.a/1982.260.a_web.jpg
2028,石灰石；整体：45.7 x 211.4 x 10.8 厘米（18 x 83 1/4 x 4 1/4 英寸）；面板：25.4 x 64.8 x 10.8 厘米（10 x 25 1/2 x 4 1/4 英寸）：克利夫兰艺术博物馆，奥斯卡-兰格夫妇赠 1982.260.B。,棺床板：横板,550–577,中国 - 南朝,[],https://clevelandart.org/art/1982.260.b,https://openaccess-cdn.clevelandart.org/1982.260.b/1982.260.b_web.jpg
2029,石灰石；整体：45.7 x 211.4 x 10.8 厘米（18 x 83 1/4 x 4 1/4 英寸）；面板：45.7 x 27.6 x 10.8 厘米（18 x 10 7/8 x 4 1/4 英寸）：克利夫兰艺术博物馆，奥斯卡-兰格夫妇赠 1982.260.C。,棺床板：凤凰纹,550–577,中国 - 南朝,[],https://clevelandart.org/art/1982.260.c,https://openaccess-cdn.clevelandart.org/1982.260.c/1982.260.c_web.jpg
2030,石灰石；总尺寸：45.7 x 211.4 x 10.8 厘米（18 x 83 1/4 x 4 1/4 英寸）。克利夫兰艺术博物馆，奥斯卡-兰格夫妇赠 1982.260.D,棺床板：横板,550–577,中国 - 南朝,[],https://clevelandart.org/art/1982.260.d,https://openaccess-cdn.clevelandart.org/1982.260.d/1982.260.d_web.jpg
2031,石灰石；整体：45.7 x 211.4 x 10.8 厘米（18 x 83 1/4 x 4 1/4 英寸）；面板：45.7 x 26.3 x 10.8 厘米（18 x 10 3/8 x 4 1/4 英寸）：克利夫兰艺术博物馆，奥斯卡-兰格夫妇赠 1982.260.E。,棺床板：龙纹,550–577,中国 - 南朝,[],https://clevelandart.org/art/1982.260.e,https://openaccess-cdn.clevelandart.org/1982.260.e/1982.260.e_web.jpg
2032,一对凳子，1644-1911 年。中国，清朝（1644-1911 年）。铁力木；总尺寸：50.8 x 48.3 x 48.3 厘米（20 x 19 x 19 英寸）。,凳（二对）,1644–1911,中国 - 清朝,"Miss Helen M. Walker [1892-1989], Cleveland, Oh, 赠与克利夫兰艺术博物馆 (?-1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.262,https://openaccess-cdn.clevelandart.org/1982.262/1982.262_web.jpg
2033,铁力木；50.8 x 48.3 x 48.3 cm (20 x 19 x 19 in.).,凳子,1644–1911,中国 - 清朝,"Miss Helen M. Walker [1892-1989], Cleveland, Oh, 赠与克利夫兰艺术博物馆 (?-1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.262.1,https://openaccess-cdn.clevelandart.org/1982.262.1/1982.262.1_web.jpg
2034,铁力木；50.8 x 48.3 x 48.3 cm (20 x 19 x 19 in.).,凳子,1644–1911,中国 - 清朝,"Miss Helen M. Walker [1892-1989], Cleveland, Oh, 赠与克利夫兰艺术博物馆 (?-1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.262.2,https://openaccess-cdn.clevelandart.org/1982.262.2/1982.262.2_web.jpg
2035,李铁拐、刘海蟾，1300 年代。中国，元代（1271-1368 年）。一对挂轴；绢本墨彩；总尺寸：106 x 38.6 厘米（41 3/4 x 15 3/16 英寸）。,铁拐李与刘海蟾,1300s,亚洲 - 挂轴,(Katsuhiro Kobayashi，日本东京，出售给克利夫兰艺术博物馆）(?-1982)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1982-）。,https://clevelandart.org/art/1982.29,https://openaccess-cdn.clevelandart.org/1982.29/1982.29_web.jpg
2036,中国，元代（1271-1368 年）。挂轴；绢本墨彩；图像：100.5 x 38.4 厘米（39.9/16 x 15.1/8 英寸）；带钮整体：182 x 59.2 厘米（71.5/8 x 23.5/16 英寸）。克利夫兰艺术博物馆，Edward L. Whittemore 基金 1982.29.1,铁拐李,1300s,亚洲 - 挂轴,(Katsuhiro Kobayashi，日本东京，出售给克利夫兰艺术博物馆）(?-1982)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1982-）。,https://clevelandart.org/art/1982.29.1,https://openaccess-cdn.clevelandart.org/1982.29.1/1982.29.1_web.jpg
2037,中国，元代（1271-1368 年）。挂轴；绢本墨彩；图像：105 x 38 厘米（41.5/16 x 14.15/16 英寸）；带钮整体：182.8 x 59.1 厘米（71.15/16 x 23.1/4 英寸）。,刘海蟾,1300s,亚洲 - 挂轴,(Katsuhiro Kobayashi，日本东京，出售给克利夫兰艺术博物馆）(?-1982)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1982-）。,https://clevelandart.org/art/1982.29.2,https://openaccess-cdn.clevelandart.org/1982.29.2/1982.29.2_web.jpg
2038,方从义（中国，活动于约 1340-1380 年）。挂轴，纸上水墨和彩色；图像：46.6 x 43.3 厘米（18 3/8 x 17 1/16 英寸）；装裱：148.6 x 67.4 厘米（58 1/2 x 26 9/16 英寸）。,《泼墨山水》,1300s,亚洲 - 挂轴,京都富士柳林馆,https://clevelandart.org/art/1982.34,https://openaccess-cdn.clevelandart.org/1982.34/1982.34_web.jpg
2039,中国，明朝（1368-1644 年）-清朝（1644-1911 年）。挂轴；绢本墨彩；仅绘画：150.4 x 94.6 厘米（59 3/16 x 37 1/4 英寸）；包括装裱：233.7 x 123.5 厘米（92 x 48 5/8 英寸）。,《官员像》,1600-1700 年代,亚洲 - 挂轴,[],https://clevelandart.org/art/1982.35,https://openaccess-cdn.clevelandart.org/1982.35/1982.35_web.jpg
2040,柳树与喜鹊，12 世纪中叶：60.4 x 30.9 厘米（23 3/4 x 12 3/16 英寸）；整体：137.2 x 48.3 厘米（54 x 19 英寸）。克利夫兰艺术博物馆，John L. Severance 基金 1982.53,《柳鹊图》,12世纪中叶,亚洲 - 挂轴,"(Mayuyama and company, tokyo, japan, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, cleveland, oh (1982-)",https://clevelandart.org/art/1982.53,https://openaccess-cdn.clevelandart.org/1982.53/1982.53_web.jpg
2041,竹石，1765 年。郑燮（中国，1693-1765 年）。挂轴，纸上水墨；图像：185.5 x 102.5 厘米（73 1/16 x 40 3/8 英寸）；装裱：257.7 x 123.8 厘米（101 7/16 x 48 3/4 英寸）。克利夫兰艺术博物馆，William H. Marlatt 先生和夫人基金 1982.54,《竹石图》,1765,亚洲 - 挂轴,[],https://clevelandart.org/art/1982.54,https://openaccess-cdn.clevelandart.org/1982.54/1982.54_web.jpg
2042,华嵒（中国，1682-1765 年），《古诗山水画册》，1745 年，12 叶；纸本，墨，淡彩；每叶 11.2 x 13.1 厘米（4.7/16 x 5.3/16英寸）：克利夫兰艺术博物馆，埃德温-R.和哈里特-佩尔顿-帕金斯纪念基金 1982.68,《古诗意山水册》（总）,1745,亚洲 - 相册叶,"(Frank Caro [1904-1980], New York, NY, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.68,https://openaccess-cdn.clevelandart.org/1982.68/1982.68_web.jpg
2043,华岩（中国，1682-1765 年）.纸本册页、墨、淡彩；图像：11.2 x 13.1 厘米（4.7/16 x 5.3/16 英寸）；画册，封面：克利夫兰艺术博物馆，埃德温-R.和哈里特-佩尔顿-帕金斯纪念基金 1982.68.1,诗意册·松下高士,1745,亚洲 - 相册叶,"(Frank Caro [1904-1980], New York, NY, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.68.1,https://openaccess-cdn.clevelandart.org/1982.68.1/1982.68.1_web.jpg
2044,华嵒（中国，1682-1765 年）.册页；纸本水墨淡彩；图像：11.2 x 13.1 厘米（4.7/16 x 5.3/16英寸）；画册，合上：克利夫兰艺术博物馆，埃德温-R.和哈里特-佩尔顿-帕金斯纪念基金 1982.68.10,诗意册·临案磨墨,1745,亚洲 - 相册叶,"(Frank Caro [1904-1980], New York, NY, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.68.10,https://openaccess-cdn.clevelandart.org/1982.68.10/1982.68.10_web.jpg
2045,华嵒（中国，1682-1765 年），纸本，墨，淡彩；图像：11.2 x 13.1 厘米（4.7/16 x 5.3/16英寸）；册页，封口：克利夫兰艺术博物馆，埃德温-R.和哈里特-佩尔顿-帕金斯纪念基金 1982.68.11,诗意册·听琴,1745,亚洲 - 相册叶,"(Frank Caro [1904-1980], New York, NY, 出售给克利夫兰艺术博物馆) (? -1982);克利夫兰艺术博物馆, Cleveland, Oh (1982-)",https://clevelandart.org/art/1982.68.11,https://openaccess-cdn.clevelandart.org/1982.68.11/1982.68.11_web.jpg
